stock_no,item_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
HMNZ5,227889,HK,G,round,0.30,E,VS2,EX,EX,EX,N,4.27-4.28x2.69,GIA,6391424708,2300,-34.30%,$453.33,WH,M0,,,BT0,BC1,EC0,,Y,57.00,63.00,36.50,41.00,Feather  Crystal  Cloud,N,2021-08-20,,Arrived,,,NO BGM  table no black
GMNZ5,227888,HK,G,round,0.30,E,VS1,VG,EX,VG,N,4.17-4.18x2.69,GIA,5396429076,2400,-44.00%,$403.20,WH,M0,,,BT1,BC0,EC0,EX,Y,56.00,64.40,36.50,40.60,Crystal  Needle  Pinpoint,N,2021-07-09,,Arrived,,,NO BGM
FMNZ5,227887,HK,G,round,0.30,E,VS1,VG,EX,VG,N,4.24-4.26x2.68,GIA,1395428724,2400,-44.00%,$403.20,WH,M0,,,BT1,BC0,EC0,EX,Y,54.00,63.10,35.00,40.80,Crystal  Needle,N,2021-07-10,,Arrived,,,NO BGM
EMNZ5,227886,HK,G,round,0.30,G,VS1,VG,EX,VG,N,4.23-4.29x2.61,GIA,6402478089,2200,-37.30%,$413.82,WH,M0,,,BT0,BC0,EC0,,Y,62.00,61.30,35.00,40.80,Crystal  Needle,VS,2021-09-22,,Arrived,,,NO BGM  no black
DMNZ5,227885,HK,G,round,0.30,F,VS2,EX,EX,EX,N,4.29-4.33x2.61,GIA,1398872107,2200,-32.80%,$443.52,WH,M0,,,BT1,BC1,EC0,VG,Y,59.00,60.60,33.00,41.00,Twinning Wisp  Feather,N,2021-08-10,,Arrived,,,NO BGM
BMNZ5,227883,HK,G,round,0.30,F,VS2,EX,EX,EX,N,4.34-4.36x2.61,GIA,6392607337,2200,-33.10%,$441.54,WH,M0,,,BT1,BC0,EC0,,Y,59.00,60.10,32.00,41.20,Feather  Crystal  Cloud,N,2021-08-31,,Arrived,,,NO BGM
AMNZ5,227882,HK,G,round,0.30,F,VS2,EX,EX,EX,N,4.28-4.30x2.69,GIA,6392607896,2200,-33.10%,$441.54,WH,M0,,,BT1,BC0,EC0,,Y,57.00,62.60,34.50,41.60,Crystal,N,2021-08-31,,Arrived,,,NO BGM
9MNZ5,227881,HK,G,round,0.30,F,VS2,EX,EX,EX,N,4.31-4.34x2.63,GIA,7396812146,2200,-33.40%,$439.56,WH,M0,,,BT1,BC0,EC0,,Y,60.00,60.90,33.00,41.60,Crystal  Cloud  Feather,N,2021-08-04,,Arrived,,,NO BGM
8MNZ5,227880,HK,G,round,0.30,F,VS2,EX,EX,EX,N,4.37-4.39x2.62,GIA,2397982712,2200,-33.10%,$441.54,WH,M0,,,BT1,BC1,EC0,,Y,59.00,59.90,32.00,40.80,Cloud  Crystal  Feather,N,2021-08-19,,Arrived,,,NO BGM
5MNZ5,227877,HK,G,round,0.30,F,VS2,EX,EX,EX,N,4.30-4.32x2.64,GIA,1399362404,2200,-31.80%,$450.12,WH,M0,,,BT0,BC1,EC0,EX,Y,57.00,61.20,35.50,40.60,Feather,N,2021-08-10,,Arrived,,,NO BGM  table no black
4MNZ5,227876,HK,G,round,0.30,D,IF,EX,EX,EX,N,4.30-4.32x2.67,GIA,5406107965,3800,-37.60%,$711.36,WH,M0,,,BT0,BC0,EC0,EX,Y,56.00,61.90,35.00,41.00,Minor Details of Polish,N,2021-08-28,,Arrived,,,NO BGM  no black
3MNZ5,227875,HK,G,round,0.30,D,IF,EX,EX,EX,N,4.26-4.29x2.67,GIA,2211778829,3800,-37.60%,$711.36,WH,M0,,,BT0,BC0,EC0,,Y,60.00,62.50,35.00,41.60,Minor Details of Polish,N,2021-08-17,,Arrived,,,NO BGM  no black
2MNZ5,227874,HK,G,round,0.30,H,VVS2,VG,VG,VG,N,4.21-4.24x2.67,GIA,6405112298,2200,-39.90%,$396.66,WH,M0,,,BT0,BC0,EC0,EX,Y,58.00,63.10,36.00,40.80,Pinpoint  Cloud,N,2021-08-27,,Arrived,,,NO BGM  no black
1MNZ5,227873,HK,G,round,0.30,F,VVS2,EX,EX,EX,N,4.25-4.28x2.68,GIA,2398767132,2500,-34.40%,$492.00,WH,M0,,,BT0,BC0,EC0,EX,Y,55.00,62.90,35.50,40.80,Pinpoint  Indented Natural,N,2021-09-13,,Arrived,,,NO BGM  no black
