Stock_No,Shape,Weight,Color,Clarity,Cut_Grade,Polish,Symmetry,Fluorescence_Intensity,Fluorescence_Color,Measurements,Lab,Certificate,Treatment,Rapa_Rate,Rate,Discount_x0025_,Amount,Fancy_Color,Fancy_Color_Intensity,Fancy_Color_Overtone,Depth_x0025_,Table_x0025_,Girdle_Thin,Girdle_Thick,Girdle_x0025_,Girdle_Condition,Culet_Size,Culet_Condition,Crown_Height,Crown_Angle,Pavilion_Depth,Pavilion_Angle,Laser_Inscription,Key_To_Symbol,Milky,Tinge,EyeClean,Comment,ImageLink,VideoLink,CertifateLink
K33079,RBC,0.37,E,VS2,EX,VG,EX,STG,,4.60 - 4.62 * 2.83,Gia,6402360654,,2300.00,1403.00,-39.00,519.11,,,,61.30,56.00,MED to STK,MED to STK,3.50,F,,NON,14.50,34.00,43.00,40.80,GIA 6402360654,Crystal  Cloud  Feather,NO,N,YES,,,,
K33080,RBC,0.30,D,SI1,EX,EX,EX,No,,4.30 - 4.32 * 2.70,Gia,2408360775,,2200.00,1606.00,-27.00,481.80,,,,62.60,57.00,MED to STK,MED to STK,4.00,F,,NON,14.50,34.00,44.00,41.60,GIA 2408360775,Twinning Wisp  Crystal  Feather,NO,N,YES,,,,
K33085,RBC,0.34,H,VS2,EX,EX,EX,FNT,,4.51 - 4.53 * 2.75,Gia,7408100988,,2000.00,1440.00,-28.00,489.60,,,,60.90,57.00,MED to STK,MED to STK,3.50,F,,NON,14.00,33.50,43.00,41.00,GIA 7408100988,Twinning Wisp  Feather,NO,N,YES,,,,
K33091,RBC,0.30,K,VVS1,EX,EX,EX,STG,,4.28 - 4.30 * 2.70,Gia,1409103547,,1700.00,1105.00,-35.00,331.50,,,,62.90,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.00,44.00,41.40,GIA 1409103547,Pinpoint  Indented Natural,NO,N,YES,,,,
K33092,RBC,0.32,L,VVS2,EX,EX,EX,STG,,4.36 - 4.38 * 2.74,Gia,2407103514,,1400.00,938.00,-33.00,300.16,,,,62.80,57.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,44.00,41.60,GIA 2407103514,Feather,NO,N,YES,,,,
K33093,RBC,0.30,G,SI1,VG,EX,EX,No,,4.21 - 4.22 * 2.70,Gia,2406103521,,1900.00,1349.00,-29.00,404.70,,,,64.10,57.00,STK to THK,STK to THK,5.00,F,,NON,16.50,38.00,42.50,40.40,GIA 2406103521,Crystal  Cloud,NO,N,YES,,,,
K33099,RBC,0.30,L,SI1,EX,EX,EX,FNT,,4.29 - 4.31 * 2.66,Gia,5403103539,,1100.00,803.00,-27.00,240.90,,,,61.80,56.00,MED to STK,MED to STK,4.00,F,,NON,15.00,34.50,43.00,40.60,GIA 5403103539,Crystal  Cloud  Feather,NO,N,YES,,,,
K33100,RBC,0.31,G,VVS2,EX,EX,EX,FNT,,4.35 - 4.37 * 2.68,Gia,5406131949,,2300.00,1518.00,-34.00,470.58,,,,61.50,60.00,MED to STK,MED to STK,4.00,F,,NON,13.50,34.00,44.00,41.60,GIA 5406131949,Pinpoint,NO,N,YES,,,,
K33103,RBC,0.32,D,VVS1,EX,EX,EX,No,,4.38 - 4.41 * 2.68,Gia,6402131853,,3000.00,2070.00,-31.00,662.40,,,,60.90,60.00,MED to STK,MED to STK,4.00,F,,NON,13.50,34.00,43.50,41.00,GIA 6402131853,Pinpoint,NO,N,YES,,,,
K33104,RBC,0.30,G,IF,EX,EX,EX,No,,4.25 - 4.27 * 2.67,Gia,2406131861,,2700.00,1755.00,-35.00,526.50,,,,62.50,57.00,MED to STK,MED to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 2406131861,Minor Details of Polish,NO,N,YES,,,,
K33107,RBC,0.30,J,SI1,EX,EX,EX,No,,4.25 - 4.27 * 2.67,Gia,6402101313,,1500.00,1185.00,-21.00,355.50,,,,62.70,58.00,MED to STK,MED to STK,4.00,F,,NON,15.00,35.50,43.50,41.20,GIA 6402101313,Crystal,NO,N,YES,,,,
K33108,RBC,0.30,I,VVS2,VG,EX,EX,No,,4.19 - 4.21 * 2.70,Gia,5403131858,,2100.00,1491.00,-29.00,447.30,,,,64.40,57.00,STK to THK,STK to THK,4.50,F,,NON,16.00,36.50,44.00,41.40,GIA 5403131858,Cloud,NO,N,YES,,,,
K33109,RBC,0.32,F,VVS1,EX,EX,EX,No,,4.37 - 4.39 * 2.73,Gia,5406131860,,2700.00,1863.00,-31.00,596.16,,,,62.30,57.00,THN to STK,THN to STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 5406131860,Feather  Indented Natural  Manufacturing Remnant,NO,N,YES,,,,
K33112,RBC,0.30,K,VS1,VG,EX,VG,No,,4.16 - 4.18 * 2.70,Gia,5406104285,,1500.00,1095.00,-27.00,328.50,,,,64.70,56.00,STK to THK,STK to THK,5.00,F,,NON,17.50,38.50,42.00,40.20,GIA 5406104285,Cloud  Pinpoint,NO,N,YES,,,,
K33113,RBC,0.30,G,IF,EX,EX,EX,No,,4.23 - 4.27 * 2.67,Gia,2407132219,,2700.00,1755.00,-35.00,526.50,,,,62.90,57.00,STK,STK,4.00,F,,NON,15.50,35.50,43.00,40.80,GIA 2407132219,Natural  Minor Details of Polish,NO,N,YES,,,,
K33114,RBC,0.30,I,VVS2,VG,EX,EX,No,,4.15 - 4.19 * 2.70,Gia,6405104301,,2100.00,1491.00,-29.00,447.30,,,,64.70,56.00,STK to THK,STK to THK,5.00,F,,NON,17.50,38.50,42.00,40.20,GIA 6405104301,Cloud  Needle  Indented Natural,NO,N,YES,,,,
