stock_no,place,status,shape,carat,color,clarity,cut,polish,symmetry,fluorescence,measurements,report,report_no,rap,back,price,colsh,milky,WC,WT,BT,BC,eye_clean,HnA,ins,table,depth,CA,PA,keyToSymbols,culet,report_date,special,arrive,image,movie,comments
10235179,HK,G,round,0.30,H,VS1,EX,EX,EX,F,4.28x4.31x2.63,GIA,1395796497,2100,-36.80%,$398.16,WH,M0,,,,,EC0,,Y,58.00,61.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235178,HK,G,round,0.30,H,VS1,EX,EX,EX,F,4.25x4.28x2.68,GIA,2406183854,2100,-36.80%,$398.16,WH,M0,,,,,EC0,,Y,59.00,62.90,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235177,HK,G,round,0.30,H,VS1,EX,EX,EX,F,4.4x4.44x2.62,GIA,1408517843,2100,-36.80%,$398.16,WH,M0,,,,,EC0,,Y,57.00,59.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235176,HK,G,round,0.30,H,VS1,EX,EX,EX,N,4.29x4.32x2.67,GIA,1383945860,2100,-30.00%,$441.00,WH,M0,,,,,EC0,,Y,57.00,62.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235169,HK,G,round,0.30,G,SI2,EX,EX,EX,N,4.27x4.3x2.68,GIA,6395874520,1600,-33.50%,$319.20,WH,M0,,,,,EC0,,Y,57.00,62.60,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235117,HK,G,round,0.30,G,SI1,EX,EX,EX,F,4.32x4.34x2.65,GIA,7408163066,1900,-37.00%,$359.10,WH,M0,,,,,EC0,,Y,58.00,61.20,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235116,HK,G,round,0.30,G,SI1,EX,EX,EX,F,4.25x4.28x2.66,GIA,7403240277,1900,-37.00%,$359.10,WH,M0,,,,,EC0,,Y,57.00,62.30,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235114,HK,G,round,0.30,G,SI1,EX,EX,EX,N,4.25x4.28x2.65,GIA,7393876208,1900,-31.20%,$392.16,WH,M0,,,,,EC0,,Y,60.00,62.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235111,HK,G,round,0.30,G,SI1,EX,EX,EX,N,4.25x4.28x2.69,GIA,1409858470,1900,-30.80%,$394.44,WH,M0,,,,,EC0,,Y,57.00,63.00,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
10235110,HK,G,round,0.30,G,SI1,EX,EX,EX,N,4.27x4.29x2.66,GIA,1398940506,1900,-31.40%,$391.02,WH,M0,,,,,EC0,,Y,56.00,62.10,0.00,0.00,,,,Y,,,,"NO BGM and 100%EC"
